date1,spectacles
11/3/2016,152.75
11/4/2016,153.880005
11/7/2016,157.759995
11/8/2016,158.070007
11/9/2016,160.429993
11/10/2016,166.639999
11/11/2016,166.470001
11/14/2016,167.610001
11/15/2016,168.509995
11/16/2016,166.610001
11/17/2016,167.550003
