,category,date,section,tags,title,topics,url
564,Mobile,2016-09-16,mobile/,urban-engines,Google Maps picks up mapping analytics and visualization startup Urban Engines,"google-maps,google",https://techcrunch.com/2016/09/16/urban-engines-2/
567,Apps,2016-09-15,mobile/,nfl,Here’s how to watch Thursday Night Football on Twitter tonight,twitter,https://techcrunch.com/2016/09/15/heres-how-to-watch-thursday-night-football-on-twitter-tonight/
604,Apps,2016-09-05,social/,"wireless,bluetooth","Snapchat joins the Bluetooth SIG, fueling hardware speculation",snapchat,https://techcrunch.com/2016/09/05/snapchat-joints-the-bluetooth-sig-fueling-hardware-speculation/
605,Apps,2016-08-31,social/,"ios,mobile-software,photo-sharing",Instagram now lets you zoom in on videos and photos on iOS,instagram,https://techcrunch.com/2016/08/31/instagram-now-lets-you-zoom-in-on-photos-on-ios/
608,Apps,2016-08-29,social/,instagram-stories,Instagram Stories diverges from Snapchat by suggesting who to follow,"facebook,snapchat,instagram",https://techcrunch.com/2016/08/29/who-to-follow-on-instagram-stories/
613,Apps,2016-08-26,social/,privacy,WhatsApp-Facebook data-sharing deal probed by UK privacy watchdog,"whatsapp,facebook,mark-zuckerberg",https://techcrunch.com/2016/08/26/whatsapp-facebook-data-sharing-deal-probed-by-uk-privacy-watchdog/
615,Apps,2016-08-25,social/,iphone,Apple may be building a Snapchat-like video app,"snapchat,apple",https://techcrunch.com/2016/08/25/apple-may-be-building-a-snapchat-like-video-app/
666,Apps,2016-09-24,startups/,dubsmash,Taking a swing for the Grammys with the new Lip Sync Battle app,snapchat,https://techcrunch.com/2016/09/24/taking-a-swing-for-the-grammys-with-the-new-lip-sync-battle-app/
670,Apps,2016-09-14,mobile/,"techcrunch-disrupt-sf,techcrunch-disrupt-sf-2016,apoorva-mehta",How Apoorva Mehta hopes to build an Instacart empire with a promoted ad business,instacart,https://techcrunch.com/2016/09/14/how-apoorva-mehta-hopes-to-build-an-instacart-empire-with-a-promoted-ad-business/
671,Apps,2016-09-14,mobile/,"tvos,fire-tv","Twitter launches on Apple TV, Fire TV and Xbox One","xbox-one,apple",https://techcrunch.com/2016/09/14/twitter-launches-on-apple-tv-fire-tv-and-xbox-one/
673,Mobile,2016-09-13,mobile/,"home,homekit",Apple works to fit the smart home under a single roof,apple,https://techcrunch.com/2016/09/13/apple-home/
675,Apps,2016-09-13,mobile/,watchos,Apple also released watchOS 3 today and here’s what’s new,apple-watch,https://techcrunch.com/2016/09/13/apple-also-released-watchos-3-today-and-heres-whats-new/
681,Apps,2016-09-13,mobile/,ios-10,iOS 10 is now available to download,apple,https://techcrunch.com/2016/09/13/ios-10-is-now-available-to-download/
699,Apps,2016-08-09,enterprise/,ups,Shyp’s business efforts ramp up with bulk shipments and new pricing,"shyp,amazon",https://techcrunch.com/2016/08/09/shyps-business-efforts-ramp-up-with-bulk-shipments-and-new-pricing/
700,Apps,2016-08-09,enterprise/,"equity-crowdfunding,tilt,venmo",Tilt dives into one-to-one payments,paypal,https://techcrunch.com/2016/08/09/tilt-dives-into-one-to-one-payments/
710,Apps,2016-08-03,enterprise/,"quip,paper",Dropbox launches an iPhone and Android version of its document-editing app Paper,dropbox-inc,https://techcrunch.com/2016/08/03/dropbox-launches-an-iphone-and-android-version-of-its-document-editing-app-paper/
717,Apps,2016-08-19,social/,teens,Facebook’s new teens-only app Lifestage turns bios into video profiles,"snapchat,facebook",https://techcrunch.com/2016/08/19/facebook-lifestage/
720,Apps,2016-08-18,social/,"valve,steam,unity",Facebook is building its own Steam-style desktop gaming platform with Unity,facebook,https://techcrunch.com/2016/08/18/facebook-desktop-game-platform/
722,Apps,2016-08-17,social/,"social-media,events,instagram-video",Instagram adds an Events channel to show you the best videos from concerts and sporting events,instagram,https://techcrunch.com/2016/08/17/instagram-events-channels/
726,Apps,2016-08-15,social/,google-duo,"Google launches Duo video-calling app, a dull cross-OS FaceTime rival",google,https://techcrunch.com/2016/08/15/google-duo/
729,Apps,2016-08-15,social/,"dating-apps,dating,monetization",Bumble is finally monetizing with paid features to better help you find a match,bumble,https://techcrunch.com/2016/08/15/bumble-is-finally-monetizing-with-paid-features-to-better-help-you-find-a-match/
732,Apps,2016-08-26,europe/,privacy,WhatsApp-Facebook data-sharing deal probed by UK privacy watchdog,"whatsapp,facebook,mark-zuckerberg",https://techcrunch.com/2016/08/26/whatsapp-facebook-data-sharing-deal-probed-by-uk-privacy-watchdog/
738,Apps,2016-08-24,europe/,"prisma,mobile-software,ios",Prisma adds offline mode to its crazy popular art filter app,android,https://techcrunch.com/2016/08/24/prisma-adds-offline-mode-to-its-crazy-popular-art-filter-app/
739,Apps,2016-08-23,europe/,"health-data,royal-free-nhs-trust,deepmind",DeepMind NHS health data-sharing deal faces further scrutiny,google,https://techcrunch.com/2016/08/23/deepmind-nhs-health-data-sharing-deal-faces-further-scrutiny/
754,Apps,2016-07-06,asia/,"app-store,china,wandoujia",Alibaba snaps up Chinese Android app store Wandoujia,alibaba,https://techcrunch.com/2016/07/06/alibaba-snaps-up-chinese-android-app-store-wandoujia/
768,Apps,2016-09-22,startups/,on-demand,"Instacart raises guaranteed delivery payout rates, removing tipping option",instacart,https://techcrunch.com/2016/09/22/instacart-raises-guaranteed-delivery-rates-removing-tipping-option/
776,Apps,2016-09-22,startups/,"bullying,abuse,dating",Bumble will soon let users get verified in an effort to squash impersonators,bumble,https://techcrunch.com/2016/09/22/bumble-will-soon-let-users-get-verified-in-an-effort-to-squash-impersonators/
779,Apps,2016-09-12,mobile/,"chatbots,facebook-messenger","Facebook Messenger now allows payments in its 30,000 chat bots",facebook,https://techcrunch.com/2016/09/12/messenger-bot-payments/
784,Apps,2016-09-09,mobile/,"chatbots,facebook-messenger",Facebook steps in to prove the value of chatbots with Tommy Hilfiger,facebook,https://techcrunch.com/2016/09/09/botty-hilfiger/
785,Apps,2016-09-09,mobile/,"mobile,photos,facebook-moments","Facebook photo-sharing app Moments expands to web, adds support for full-res photos",facebook,https://techcrunch.com/2016/09/09/facebook-photo-sharing-app-moments-expands-to-web-adds-support-for-full-res-photos/
787,Apps,2016-09-08,mobile/,"fintech,digit,sms","Digit, a simple app to help you save, launches Android app",android,https://techcrunch.com/2016/09/08/digit-a-simple-app-to-help-you-save-launches-android-app/
791,Mobile,2016-09-07,mobile/,"iphone-event-2016,iphone-event,iphone-7",All of the videos from Apple’s iPhone event,apple,https://techcrunch.com/2016/09/07/all-of-the-videos-from-apples-iphone-event/
794,Apps,2016-09-13,gadgets/,watchos,Apple also released watchOS 3 today and here’s what’s new,apple-watch,https://techcrunch.com/2016/09/13/apple-also-released-watchos-3-today-and-heres-whats-new/
797,Apps,2016-09-13,gadgets/,tvos,Apple just released tvOS 10 and here’s what’s new,apple-tv,https://techcrunch.com/2016/09/13/apple-just-released-tvos-10-and-heres-whats-new/
798,Apps,2016-09-13,gadgets/,ios-10,iOS 10 is now available to download,apple,https://techcrunch.com/2016/09/13/ios-10-is-now-available-to-download/
811,Apps,2016-07-26,enterprise/,"earnings,aapl16q3","Apple beats earnings expectations by a mile, and its stock is soaring",apple,https://techcrunch.com/2016/07/26/apple-beats-earnings-expectations-by-a-mile-and-its-stock-is-soaring/
827,Apps,2016-08-11,social/,facebook-news-feed,Facebook feed change that predicts what’s informative could reprioritize news,facebook,https://techcrunch.com/2016/08/11/facebook-news-feed-algorithm/
837,Apps,2016-08-05,social/,snapchat-stories,The social app redundancy engine,"snapchat,facebook",https://techcrunch.com/2016/08/05/the-social-app-redundancy-engine/
880,Apps,2016-09-20,startups/,pinterest,Pinterest hires a head of engineering for its new Seattle office,"amazon,facebook,google",https://techcrunch.com/2016/09/20/pinterest-hires-a-head-of-engineering-for-its-new-seattle-office/
888,Apps,2016-09-07,mobile/,iphone-7,"Instagram is building new zoom, filter, and GIF features for the iPhone 7 camera","apple,instagram",https://techcrunch.com/2016/09/07/iphonestagram/
891,Mobile,2016-09-07,mobile/,"wechat,facebook-messenger,chatbots",Facebook’s path into the messaging future,slack,https://techcrunch.com/2016/09/07/facebooks-path-into-the-messaging-future/
892,Apps,2016-09-07,mobile/,connected,"Apple stays in school, donating 54,500 iPads to students and teachers","tim-cook,apple",https://techcrunch.com/2016/09/07/apple-stays-in-school-with-coding-curriculum-and-a-revamped-iwork/
893,Apps,2016-09-07,mobile/,"iphone-event,iphone","With 500M downloads, Pokémon Go is coming to the Apple Watch",apple,https://techcrunch.com/2016/09/07/pokemon-go-the-hottest-game-on-the-planet-is-coming-to-the-apple-watch/
894,Mobile,2016-09-07,mobile/,"iphone-event-2016,iphone-event",This is the iPhone 7,apple,https://techcrunch.com/2016/09/07/iphone-7-apple-iphone-7-plus/
897,Mobile,2016-09-06,mobile/,founders-fund,Postmates is raising at least $100 million to fuel its on-demand ambitions,postmates,https://techcrunch.com/2016/09/06/postmates-is-raising-at-least-100-million-to-fuel-its-on-demand-ambitions/
898,Apps,2016-09-06,mobile/,"developers,app-store,apps",Upcoming App Store purge could see hundreds of thousands of apps deleted,apple,https://techcrunch.com/2016/09/06/upcoming-app-store-purge-could-see-hundreds-of-thousands-of-apps-deleted/
899,Apps,2016-09-05,mobile/,"playlists,music","Apple rolls out its new, personalized playlists to Apple Music subscribers on iOS, macOS betas","apple,apple-music",https://techcrunch.com/2016/09/05/apple-rolls-out-its-new-personalized-playlists-to-apple-music-subscribers-on-ios-macos-betas/
902,Mobile,2016-09-02,mobile/,"analytics,google-analytics",Google Analytics can now summarize your data with automated insights,alphabet,https://techcrunch.com/2016/09/02/google-analytics-automated-insights/
924,Apps,2016-07-12,enterprise/,"spaces,chat-apps,kifi",Google aqui-hires deep search engine Kifi to enhance its Spaces group chat app,google,https://techcrunch.com/2016/07/12/google-acquires-deep-search-engine-kifi-to-enhance-its-spaces-group-chat-app/
946,Apps,2016-08-02,social/,"photo-sharing,sticker",Snapchat lets the people have Geostickers,snapchat,https://techcrunch.com/2016/08/02/snapchat-lets-the-people-have-geostickers/
947,Apps,2016-08-02,social/,"snapchat-stories,kevin-systrom","Instagram launches “Stories,” a Snapchatty feature for imperfect sharing","snapchat,instagram",https://techcrunch.com/2016/08/02/instagram-stories/
993,Mobile,2016-09-02,mobile/,"korea,galaxy-note-7",Samsung confirms it is recalling the Galaxy Note 7 after reports of explosions,samsung,https://techcrunch.com/2016/09/02/samsung-confirms-it-is-recalling-the-galaxy-note-7-after-reports-of-explosions/
995,Apps,2016-09-01,mobile/,"mobile,apps",Apple shows off the first Siri-powered apps arriving in iOS 10,"siri,apple",https://techcrunch.com/2016/09/01/apple-shows-off-the-first-siri-powered-apps-arriving-in-ios-10/
999,Apps,2016-08-31,mobile/,"search,mobile,apps",Google’s Search app on Android can now find content buried in your apps,google,https://techcrunch.com/2016/08/31/googles-search-app-on-android-can-now-find-content-buried-in-your-apps/
